"호선","역명","시간(분)","거리(km)","누계(km)"
"1호선","서울역","","0.0","0.0"
"1호선","시청","2","1.1","1.1"
"1호선","종각","3","1.0","2.1"
"1호선","종로3가","1","0.8","2.9"
"1호선","종로5가","2","0.9","3.8"
"1호선","동대문","2","0.8","4.6"
"1호선","동묘앞","1","0.6","5.2"
"1호선","신설동","2","0.7","5.9"
"1호선","제기동","2","0.9","6.8"
"1호선","청량리","2","1.0","7.8"
"2호선","시청","","0.0","0.0"
"2호선","을지로입구","2","0.7","0.7"
"2호선","을지로3가","2","0.8","1.5"
"2호선","을지로4가","1","0.6","2.1"
"2호선","동대문운동장","2","1.0","3.1"
"2호선","신당","2","0.9","4.0"
"2호선","상왕십리","2","0.9","4.9"
"2호선","왕십리","1","0.8","5.7"
"2호선","한양대","2","1.0","6.7"
"2호선","뚝섬","2","1.1","7.8"
"2호선","성수","1","0.8","8.6"
"2호선","건대입구","2","1.2","9.8"
"2호선","구의","3","1.6","11.4"
"2호선","강변","1","0.9","12.3"
"2호선","성내","3","1.8","14.1"
"2호선","잠실","2","1.0","15.1"
"2호선","신천","2","1.2","16.3"
"2호선","종합운동장","2","1.2","17.5"
"2호선","삼성","2","1.0","18.5"
"2호선","선릉","2","1.3","19.8"
"2호선","역삼","2","1.2","21.0"
"2호선","강남","1","0.8","21.8"
"2호선","교대","2","1.2","23.0"
"2호선","서초","2","0.7","23.7"
"2호선","방배","2","1.7","25.4"
"2호선","사당","3","1.6","27.0"
"2호선","낙성대","2","1.7","28.7"
"2호선","서울대입구","2","1.0","29.7"
"2호선","봉천","2","1.0","30.7"
"2호선","신림","2","1.1","31.8"
"2호선","신대방","2","1.8","33.6"
"2호선","구로디지털단지","2","1.1","34.7"
"2호선","대림","2","1.1","35.8"
"2호선","신도림","3","1.8","37.6"
"2호선","문래","2","1.2","38.8"
"2호선","영등포구청","2","0.9","39.7"
"2호선","당산","2","1.1","40.8"
"2호선","합정","4","2.0","42.8"
"2호선","홍대입구","2","1.1","43.9"
"2호선","신촌","2","1.3","45.2"
"2호선","이대","2","0.8","46.0"
"2호선","아현","2","0.9","46.9"
"2호선","충정로","2","0.8","47.7"
"2호선","시청","3","1.1","48.8"
"2호선 성수지선","성수","","0.0","0.0"
"2호선 성수지선","용답","3","2.3","2.3"
"2호선 성수지선","신답","2","1.0","3.3"
"2호선 성수지선","용두","2","0.9","4.2"
"2호선 성수지선","신설동","2","1.2","5.4"
"2호선 신정지선","신도림","","0.0","0.0"
"2호선 신정지선","도림천","2","1.0","1.0"
"2호선 신정지선","양천구청","3","1.7","2.7"
"2호선 신정지선","신정네거리","4","1.9","4.6"
"2호선 신정지선","까치산","3","1.4","6.0"
"3호선","지축","","0.0","0.0"
"3호선","구파발","4","1.5","1.5"
"3호선","연신내","2","2.0","3.5"
"3호선","불광","2","1.3","4.8"
"3호선","녹번","2","1.1","5.9"
"3호선","홍제","3","1.6","7.5"
"3호선","무악재","2","0.9","8.4"
"3호선","독립문","2","1.1","9.5"
"3호선","경복궁","2","1.6","11.1"
"3호선","안국","2","1.1","12.2"
"3호선","종로3가","2","1.0","13.2"
"3호선","을지로3가","2","0.6","13.8"
"3호선","충무로","1","0.7","14.5"
"3호선","동대입구","2","0.9","15.4"
"3호선","약수","2","0.7","16.1"
"3호선","금호","1","0.8","16.9"
"3호선","옥수","2","0.8","17.7"
"3호선","압구정","2","2.1","19.8"
"3호선","신사","3","1.5","21.3"
"3호선","잠원","2","0.9","22.2"
"3호선","고속터미널","2","1.2","23.4"
"3호선","교대","2","1.6","25.0"
"3호선","남부터미널","2","0.9","25.9"
"3호선","양재","3","1.8","27.7"
"3호선","매봉","2","1.2","28.9"
"3호선","도곡","2","0.8","29.7"
"3호선","대치","2","0.8","30.5"
"3호선","학여울","1","0.8","31.3"
"3호선","대청","2","0.9","32.2"
"3호선","일원","2","1.2","33.4"
"3호선","수서","3","1.8","35.2"
"4호선","당고개","","0.0","0.0"
"4호선","상계","2","1.2","1.2"
"4호선","노원","2","1.0","2.2"
"4호선","창동","2","1.4","3.6"
"4호선","쌍문","2","1.3","4.9"
"4호선","수유","3","1.5","6.4"
"4호선","미아","2","1.4","7.8"
"4호선","미아삼거리","2","1.5","9.3"
"4호선","길음","2","1.3","10.6"
"4호선","성신여대입구","3","1.4","12.0"
"4호선","한성대입구","2","1.0","13.0"
"4호선","혜화","2","0.9","13.9"
"4호선","동대문","2","1.5","15.4"
"4호선","동대문운동장","2","0.7","16.1"
"4호선","충무로","2","1.3","17.4"
"4호선","명동","1","0.7","18.1"
"4호선","회현","2","0.7","18.8"
"4호선","서울역","2","0.9","19.7"
"4호선","숙대입구","2","1.0","20.7"
"4호선","삼각지","2","1.2","21.9"
"4호선","신용산","1","0.7","22.6"
"4호선","이촌","2","1.3","23.9"
"4호선","동작","4","2.7","26.6"
"4호선","총신대입구","3","1.8","28.4"
"4호선","사당","2","1.1","29.5"
"4호선","남태령","1","1.6","31.1"
